x,y,flux(W/m2)
6.975,0.025,0
6.925,0.025,0
6.875,0.025,0
6.825,0.025,0
6.775,0.025,0
6.725,0.025,0
6.675,0.025,0
6.625,0.025,0
6.575,0.025,0
6.525,0.025,0
6.475,0.025,0
6.425,0.025,0
6.375,0.025,0
6.325,0.025,0
6.275,0.025,0
6.225,0.025,0
6.175,0.025,0
6.125,0.025,0
6.075,0.025,0
6.025,0.025,0
5.975,0.025,0
5.925,0.025,0
5.875,0.025,0
5.825,0.025,0
5.775,0.025,0
5.725,0.025,0
5.675,0.025,0
5.625,0.025,0
5.575,0.025,0
5.525,0.025,0
5.475,0.025,0
5.425,0.025,0
5.375,0.025,0
5.325,0.025,0
5.275,0.025,0
5.225,0.025,0
5.175,0.025,0
5.125,0.025,0
5.075,0.025,0
5.025,0.025,0
4.975,0.025,0
4.925,0.025,0
4.875,0.025,0
4.825,0.025,0
4.775,0.025,0
4.725,0.025,0
4.675,0.025,0
4.625,0.025,0
4.575,0.025,0
4.525,0.025,0
4.475,0.025,0
4.425,0.025,0
4.375,0.025,0
4.325,0.025,0
4.275,0.025,0
4.225,0.025,0
4.175,0.025,0
4.125,0.025,0
4.075,0.025,0
4.025,0.025,0
3.975,0.025,0
3.925,0.025,0
3.875,0.025,0
3.825,0.025,0
3.775,0.025,0
3.725,0.025,0
3.675,0.025,0
3.625,0.025,0
3.575,0.025,0
3.525,0.025,0
3.475,0.025,0
3.425,0.025,0
3.375,0.025,0
3.325,0.025,0
3.275,0.025,0
3.225,0.025,0
3.175,0.025,0
3.125,0.025,0
3.075,0.025,0
3.025,0.025,0
2.975,0.025,0
2.925,0.025,0
2.875,0.025,0
2.825,0.025,0
2.775,0.025,0
2.725,0.025,0
2.675,0.025,0
2.625,0.025,0
2.575,0.025,0
2.525,0.025,0
2.475,0.025,0
2.425,0.025,0
2.375,0.025,0
2.325,0.025,0
2.275,0.025,0
2.225,0.025,0
2.175,0.025,0
2.125,0.025,0
2.075,0.025,0
2.025,0.025,0
1.975,0.025,0
1.925,0.025,0
1.875,0.025,0
1.825,0.025,0
1.775,0.025,0
1.725,0.025,0
1.675,0.025,0
1.625,0.025,0
1.575,0.025,0
1.525,0.025,0
1.475,0.025,0
1.425,0.025,0
1.375,0.025,0
1.325,0.025,0
1.275,0.025,0
1.225,0.025,0
1.175,0.025,0
1.125,0.025,0
1.075,0.025,0
1.025,0.025,0
0.975,0.025,0
0.925001,0.025,0
0.875,0.025,0
0.825001,0.025,0
0.775,0.025,0
0.725,0.025,0
0.675001,0.025,0
0.625,0.025,0
0.575001,0.025,0
0.525,0.025,0
0.475,0.025,0
0.425001,0.025,0
0.375,0.025,0
0.325001,0.025,0
0.275,0.025,0
0.225,0.025,0
0.175001,0.025,0
0.125,0.025,0
0.0750008,0.025,0
0.0249996,0.025,0
31.425,0.075,0
31.375,0.075,0
31.325,0.075,0
31.275,0.075,0
31.225,0.075,0
31.175,0.075,0
31.125,0.075,0
31.075,0.075,0
31.025,0.075,0
30.975,0.075,0
30.925,0.075,0
30.875,0.075,0
30.825,0.075,0
30.775,0.075,0
30.725,0.075,0
30.675,0.075,0
30.625,0.075,0
30.575,0.075,0
30.525,0.075,0
30.475,0.075,0
30.425,0.075,0
30.375,0.075,0
30.325,0.075,0
30.275,0.075,0
30.225,0.075,0
30.175,0.075,0
30.125,0.075,0
30.075,0.075,0
30.025,0.075,0
29.975,0.075,0
29.925,0.075,0
29.875,0.075,0
29.825,0.075,0
29.775,0.075,0
29.725,0.075,0
29.675,0.075,0
29.625,0.075,0
29.575,0.075,0
29.525,0.075,0
29.475,0.075,0
29.425,0.075,0
29.375,0.075,0
29.325,0.075,0
29.275,0.075,0
29.225,0.075,0
29.175,0.075,0
29.125,0.075,0
29.075,0.075,0
29.025,0.075,0
28.975,0.075,0
28.925,0.075,0
28.875,0.075,0
28.825,0.075,0
28.775,0.075,0
28.725,0.075,0
28.675,0.075,0
28.625,0.075,0
28.575,0.075,0
28.525,0.075,0
28.475,0.075,0
28.425,0.075,0
28.375,0.075,0
28.325,0.075,0
28.275,0.075,0
28.225,0.075,0
28.175,0.075,0
28.125,0.075,0
28.075,0.075,0
28.025,0.075,0
27.975,0.075,0
27.925,0.075,0
27.875,0.075,0
27.825,0.075,0
27.775,0.075,0
27.725,0.075,0
27.675,0.075,0
27.625,0.075,0
27.575,0.075,0
27.525,0.075,0
27.475,0.075,0
27.425,0.075,0
27.375,0.075,0
27.325,0.075,0
27.275,0.075,0
27.225,0.075,0
27.175,0.075,0
27.125,0.075,0
27.075,0.075,0
27.025,0.075,0
26.975,0.075,0
26.925,0.075,0
26.875,0.075,0
26.825,0.075,0
26.775,0.075,0
26.725,0.075,0
26.675,0.075,0
26.625,0.075,0
26.575,0.075,0
26.525,0.075,0
26.475,0.075,0
26.425,0.075,0
26.375,0.075,0
26.325,0.075,0
26.275,0.075,0
26.225,0.075,0
26.175,0.075,0
26.125,0.075,0
26.075,0.075,0
26.025,0.075,0
25.975,0.075,0
25.925,0.075,0
25.875,0.075,0
25.825,0.075,0
25.775,0.075,0
25.725,0.075,0
25.675,0.075,0
25.625,0.075,0
25.575,0.075,0
25.525,0.075,0
25.475,0.075,0
25.425,0.075,0
25.375,0.075,0
25.325,0.075,0
25.275,0.075,0
25.225,0.075,0
25.175,0.075,0
25.125,0.075,0
25.075,0.075,0
25.025,0.075,0
24.975,0.075,0
24.925,0.075,0
24.875,0.075,0
24.825,0.075,0
24.775,0.075,0
24.725,0.075,0
24.675,0.075,0
24.625,0.075,0
24.575,0.075,0
24.525,0.075,0
24.475,0.075,0
24.425,0.075,0
24.375,0.075,0
24.325,0.075,0
24.275,0.075,0
24.225,0.075,0
24.175,0.075,0
24.125,0.075,0
24.075,0.075,0
24.025,0.075,0
23.975,0.075,0
23.925,0.075,0
23.875,0.075,0
23.825,0.075,0
23.775,0.075,0
23.725,0.075,0
23.675,0.075,0
23.625,0.075,0
23.575,0.075,0
23.525,0.075,0
23.475,0.075,0
23.425,0.075,0
23.375,0.075,0
23.325,0.075,0
23.275,0.075,0
23.225,0.075,0
23.175,0.075,0
23.125,0.075,0
23.075,0.075,0
23.025,0.075,0
22.975,0.075,0
22.925,0.075,0
22.875,0.075,0
22.825,0.075,0
22.775,0.075,0
22.725,0.075,0
22.675,0.075,1.20763e-06
22.625,0.075,5.59641e-06
22.575,0.075,9.17479e-06
22.525,0.075,6.03813e-06
22.475,0.075,0.000872935
22.425,0.075,0.00128436
22.375,0.075,0.00104409
22.325,0.075,0.000747361
22.275,0.075,0.000693138
22.225,0.075,0.000768399
22.175,0.075,0.00153225
22.125,0.075,0.00309352
22.075,0.075,0.00384255
22.025,0.075,0.00355016
21.975,0.075,0.00375698
21.925,0.075,0.00462875
21.875,0.075,0.00485518
21.825,0.075,0.00531047
21.775,0.075,0.00661585
21.725,0.075,0.00764802
21.675,0.075,0.0091325
21.625,0.075,0.0121241
21.575,0.075,0.0128928
21.525,0.075,0.0127849
21.475,0.075,0.0166348
21.425,0.075,0.0184027
21.375,0.075,0.0192507
21.325,0.075,0.0207697
21.275,0.075,0.0223824
21.225,0.075,0.0252375
21.175,0.075,0.0266451
21.125,0.075,0.0306444
21.075,0.075,0.0380412
21.025,0.075,0.0404806
20.975,0.075,0.0417419
20.925,0.075,0.0412253
20.875,0.075,0.0416596
20.825,0.075,0.0432948
20.775,0.075,0.0495136
20.725,0.075,0.057111
20.675,0.075,0.0580685
20.625,0.075,0.0616162
20.575,0.075,0.064967
20.525,0.075,0.0673281
20.475,0.075,0.0707092
20.425,0.075,0.0793223
20.375,0.075,0.080378
20.325,0.075,0.0726749
20.275,0.075,0.0716407
20.225,0.075,0.0756858
20.175,0.075,0.0852239
20.125,0.075,0.0980011
20.075,0.075,0.105
20.025,0.075,0.105881
19.975,0.075,0.106422
19.925,0.075,0.105624
19.875,0.075,0.109541
19.825,0.075,0.117064
19.775,0.075,0.127479
19.725,0.075,0.138576
19.675,0.075,0.142726
19.625,0.075,0.130852
19.575,0.075,0.128769
19.525,0.075,0.140502
19.475,0.075,0.144472
19.425,0.075,0.144042
19.375,0.075,0.14474
19.325,0.075,0.159934
19.275,0.075,0.168914
19.225,0.075,0.16965
19.175,0.075,0.174822
19.125,0.075,0.185065
19.075,0.075,0.196537
19.025,0.075,0.199583
18.975,0.075,0.195885
18.925,0.075,0.2064
18.875,0.075,0.22361
18.825,0.075,0.246382
18.775,0.075,0.267272
18.725,0.075,0.290724
18.675,0.075,0.302533
18.625,0.075,0.302719
18.575,0.075,0.315241
18.525,0.075,0.338504
18.475,0.075,0.366567
18.425,0.075,0.380626
18.375,0.075,0.405359
18.325,0.075,0.448512
18.275,0.075,0.497406
18.225,0.075,0.528422
18.175,0.075,0.576615
18.125,0.075,0.628375
18.075,0.075,0.68143
18.025,0.075,0.740459
17.975,0.075,0.814039
17.925,0.075,0.903286
17.875,0.075,0.997895
17.825,0.075,1.10353
17.775,0.075,1.2356
17.725,0.075,1.40231
17.675,0.075,1.56864
17.625,0.075,1.76966
17.575,0.075,1.96977
17.525,0.075,2.20218
17.475,0.075,2.48746
17.425,0.075,2.78669
17.375,0.075,3.09309
17.325,0.075,3.36935
17.275,0.075,3.67818
17.225,0.075,4.08421
17.175,0.075,4.5503
17.125,0.075,4.99158
17.075,0.075,5.45216
17.025,0.075,5.91176
16.975,0.075,6.40874
16.925,0.075,6.91631
16.875,0.075,7.42484
16.825,0.075,7.97139
16.775,0.075,8.59087
